#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
-----------------------------------------------
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources
-----------------------------------------------
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-02-02;Nouvelle-Zélande;16819;53;0;0.32;0.00;99.68
2022-02-02;Népal;959775;11764;0;1.23;0.00;98.77
2022-02-02;Norvège;804286;1440;0;0.18;0.00;99.82
2022-02-02;Pays-Bas;4692028;21837;0;0.47;0.00;99.53
2022-02-02;Nicaragua;17709;220;0;1.24;0.00;98.76
2022-02-02;Nigéria;253340;3136;0;1.24;0.00;98.76
2022-02-02;Niger;8655;301;0;3.48;0.00;96.52
2022-02-02;Nouvelle-Calédonie;23231;284;0;1.22;0.00;98.78
2022-02-02;Namibie;155942;3969;0;2.55;0.00;97.45
2022-02-02;Mozambique;223949;2174;0;0.97;0.00;99.03
2022-02-02;Malaisie;2876324;31985;0;1.11;0.00;98.89
2022-02-02;Mexique;4985689;306920;0;6.16;0.00;93.84
2022-02-02;Malawi;84572;2563;0;3.03;0.00;96.97
2022-02-02;Maldives;141060;277;0;0.20;0.00;99.80
2022-02-02;Maurice;70862;786;0;1.11;0.00;98.89
2022-02-02;Malte;68193;556;0;0.82;0.00;99.18
2022-02-02;Mauritanie;58298;956;0;1.64;0.00;98.36
2022-02-02;Martinique;87634;832;0;0.95;0.00;99.05
2022-02-02;Macao;79;0;0;0.00;0.00;100.00
2022-02-02;Mongolie;446076;2115;0;0.47;0.00;99.53
2022-02-02;Birmanie;536536;19310;0;3.60;0.00;96.40
2022-02-02;Mali;30101;715;0;2.38;0.00;97.62
2022-02-02;Macédoine;270897;8444;0;3.12;0.00;96.88
2022-02-02;Îles Marshall;7;0;0;0.00;0.00;100.00
2022-02-02;Madagascar;59319;1274;0;2.15;0.00;97.85
2022-02-02;Saint Martin;9439;61;0;0.65;0.00;99.35
